slug,provider,offer,actionButtons,resourceTypes,provisioningMode,workloadTypes,hardware,interfaces,pricingUnit,minimumCommitment,price,planType,planName,starred,tag,description
aethir-gpu-cloud,,!offer:aethir-gpu-cloud,,,,,,,,,,,,,,
akash-network-compute,,!offer:akash-network-compute,,,,,,,,,,,,,,
io-net-gpu-clusters,,!offer:io-net-gpu-clusters,,,,,,,,,,,,,,
